CandidateID,FirstName,LastName,Gender,Age,Email,PhoneNumber,TeamID,CohortID,ProvinceID,BranchID,EnrollmentDate,CohortName,StartDate,EndDate,AgeGroup,EnrollmentDuration
CAN001,Thabo,Mthembu,Male,24,thabo.mthembu@capaciti.org.za,823456789,TM001,COH001,PROV001,BR001,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN002,Nomsa,Dlamini,Female,27,nomsa.dlamini@capaciti.org.za,834567890,TM001,COH001,PROV001,BR001,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN003,Sipho,Nkosi,Male,22,sipho.nkosi@capaciti.org.za,845678901,TM001,COH001,PROV001,BR001,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN004,Precious,Mahlangu,Female,29,precious.mahlangu@capaciti.org.za,856789012,TM001,COH001,PROV001,BR001,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN005,Lucky,Zwane,Male,26,lucky.zwane@capaciti.org.za,867890123,TM001,COH001,PROV001,BR001,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN006,Aisha,Williams,Female,25,aisha.williams@capaciti.org.za,878901234,TM002,COH001,PROV002,BR002,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN007,Devon,Smith,Male,23,devon.smith@capaciti.org.za,889012345,TM002,COH001,PROV002,BR002,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN008,Zara,Johnson,Female,28,zara.johnson@capaciti.org.za,890123456,TM002,COH001,PROV002,BR002,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN009,Kyle,Brown,Male,24,kyle.brown@capaciti.org.za,801234567,TM002,COH001,PROV002,BR002,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN010,Nomhle,Mthethwa,Female,31,nomhle.mthethwa@capaciti.org.za,812345678,TM003,COH001,PROV003,BR003,2025-01-15,AI Academy,2025-01-15,2025-06-15,31-35,151
CAN011,Luyanda,Gqomo,Male,26,luyanda.gqomo@capaciti.org.za,823456780,TM003,COH001,PROV003,BR003,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN012,Anathi,Mfengu,Female,24,anathi.mfengu@capaciti.org.za,834567891,TM003,COH001,PROV003,BR003,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN013,Lunga,Nyathi,Male,27,lunga.nyathi@capaciti.org.za,845678902,TM003,COH001,PROV003,BR003,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN014,Yolanda,Jali,Female,25,yolanda.jali@capaciti.org.za,856789013,TM003,COH001,PROV003,BR003,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN015,Siyanda,Mbeki,Male,29,siyanda.mbeki@capaciti.org.za,867890124,TM003,COH001,PROV003,BR003,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN016,Naledi,Mokwena,Female,23,naledi.mokwena@capaciti.org.za,878901235,TM004,COH001,PROV004,BR004,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN017,Tebogo,Motsepe,Male,28,tebogo.motsepe@capaciti.org.za,889012346,TM004,COH001,PROV004,BR004,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN018,Lerato,Maseko,Female,26,lerato.maseko@capaciti.org.za,890123457,TM004,COH001,PROV004,BR004,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN019,Neo,Radebe,Male,24,neo.radebe@capaciti.org.za,801234568,TM004,COH001,PROV004,BR004,2025-01-15,AI Academy,2025-01-15,2025-06-15,18-25,151
CAN020,Boitumelo,Kgomo,Female,27,boitumelo.kgomo@capaciti.org.za,812345679,TM004,COH001,PROV004,BR004,2025-01-15,AI Academy,2025-01-15,2025-06-15,26-30,151
CAN021,Mandla,Shongwe,Male,25,mandla.shongwe@capaciti.org.za,823456781,TM005,COH002,PROV001,BR001,2025-02-01,DevOps,2025-02-01,2025-07-01,18-25,150
CAN022,Lindiwe,Mabuza,Female,30,lindiwe.mabuza@capaciti.org.za,834567892,TM005,COH002,PROV001,BR001,2025-02-01,DevOps,2025-02-01,2025-07-01,26-30,150
CAN023,Themba,Vilakazi,Male,22,themba.vilakazi@capaciti.org.za,845678903,TM005,COH002,PROV001,BR001,2025-02-01,DevOps,2025-02-01,2025-07-01,18-25,150
CAN024,Ntombi,Ngwenya,Female,26,ntombi.ngwenya@capaciti.org.za,856789014,TM005,COH002,PROV001,BR001,2025-02-01,DevOps,2025-02-01,2025-07-01,26-30,150
CAN025,Keegan,Adams,Male,24,keegan.adams@capaciti.org.za,867890125,TM006,COH002,PROV002,BR002,2025-02-01,DevOps,2025-02-01,2025-07-01,18-25,150
CAN026,Chloe,Davies,Female,27,chloe.davies@capaciti.org.za,878901236,TM006,COH002,PROV002,BR002,2025-02-01,DevOps,2025-02-01,2025-07-01,26-30,150
CAN027,Ryan,Taylor,Male,23,ryan.taylor@capaciti.org.za,889012347,TM006,COH002,PROV002,BR002,2025-02-01,DevOps,2025-02-01,2025-07-01,18-25,150
CAN028,Mia,Wilson,Female,29,mia.wilson@capaciti.org.za,890123458,TM006,COH002,PROV002,BR002,2025-02-01,DevOps,2025-02-01,2025-07-01,26-30,150
CAN029,Luke,Miller,Male,25,luke.miller@capaciti.org.za,801234569,TM006,COH002,PROV002,BR002,2025-02-01,DevOps,2025-02-01,2025-07-01,18-25,150
CAN030,Busisiwe,Mnguni,Female,28,busisiwe.mnguni@capaciti.org.za,812345680,TM007,COH002,PROV003,BR003,2025-02-01,DevOps,2025-02-01,2025-07-01,26-30,150
CAN031,Khanyisile,Cele,Male,24,khanyisile.cele@capaciti.org.za,823456782,TM007,COH002,PROV003,BR003,2025-02-01,DevOps,2025-02-01,2025-07-01,18-25,150
