CandidateID,FirstName,LastName,Gender,Age,Email,PhoneNumber,TeamID,CohortID,ProvinceID,BranchID,EnrollmentDate
CAN001,Thabo,Mthembu,Male,24,thabo.mthembu@email.com,0823456789,TM001,COH001,PROV001,BR001,2025-01-15
CAN002,Nomsa,Dlamini,Female,27,nomsa.dlamini@email.com,0834567890,TM001,COH001,PROV001,BR001,2025-01-15
CAN003,Sipho,Nkosi,Male,22,sipho.nkosi@email.com,0845678901,TM001,COH001,PROV001,BR001,2025-01-15
CAN004,Precious,Mahlangu,Female,29,precious.mahlangu@email.com,0856789012,TM001,COH001,PROV001,BR001,2025-01-15
CAN005,Lucky,Zwane,Male,26,lucky.zwane@email.com,0867890123,TM001,COH001,PROV001,BR001,2025-01-15
CAN006,Aisha,Williams,Female,25,aisha.williams@email.com,0878901234,TM002,COH001,PROV002,BR002,2025-01-15
CAN007,Devon,Smith,Male,23,devon.smith@email.com,0889012345,TM002,COH001,PROV002,BR002,2025-01-15
CAN008,Zara,Johnson,Female,28,zara.johnson@email.com,0890123456,TM002,COH001,PROV002,BR002,2025-01-15
CAN009,Kyle,Brown,Male,24,kyle.brown@email.com,0801234567,TM002,COH001,PROV002,BR002,2025-01-15
CAN010,Nomhle,Mthethwa,Female,31,nomhle.mthethwa@email.com,0812345678,TM003,COH001,PROV003,BR003,2025-01-15
CAN011,Luyanda,Gqomo,Male,26,luyanda.gqomo@email.com,0823456780,TM003,COH001,PROV003,BR003,2025-01-15
CAN012,Anathi,Mfengu,Female,24,anathi.mfengu@email.com,0834567891,TM003,COH001,PROV003,BR003,2025-01-15
CAN013,Lunga,Nyathi,Male,27,lunga.nyathi@email.com,0845678902,TM003,COH001,PROV003,BR003,2025-01-15
CAN014,Yolanda,Jali,Female,25,yolanda.jali@email.com,0856789013,TM003,COH001,PROV003,BR003,2025-01-15
CAN015,Siyanda,Mbeki,Male,29,siyanda.mbeki@email.com,0867890124,TM003,COH001,PROV003,BR003,2025-01-15
CAN016,Naledi,Mokwena,Female,23,naledi.mokwena@email.com,0878901235,TM004,COH001,PROV004,BR004,2025-01-15
CAN017,Tebogo,Motsepe,Male,28,tebogo.motsepe@email.com,0889012346,TM004,COH001,PROV004,BR004,2025-01-15
CAN018,Lerato,Maseko,Female,26,lerato.maseko@email.com,0890123457,TM004,COH001,PROV004,BR004,2025-01-15
CAN019,Neo,Radebe,Male,24,neo.radebe@email.com,0801234568,TM004,COH001,PROV004,BR004,2025-01-15
CAN020,Boitumelo,Kgomo,Female,27,boitumelo.kgomo@email.com,0812345679,TM004,COH001,PROV004,BR004,2025-01-15
CAN021,Mandla,Shongwe,Male,25,mandla.shongwe@email.com,0823456781,TM005,COH002,PROV001,BR001,2025-02-01
CAN022,Lindiwe,Mabuza,Female,30,lindiwe.mabuza@email.com,0834567892,TM005,COH002,PROV001,BR001,2025-02-01
CAN023,Themba,Vilakazi,Male,22,themba.vilakazi@email.com,0845678903,TM005,COH002,PROV001,BR001,2025-02-01
CAN024,Ntombi,Ngwenya,Female,26,ntombi.ngwenya@email.com,0856789014,TM005,COH002,PROV001,BR001,2025-02-01
CAN025,Keegan,Adams,Male,24,keegan.adams@email.com,0867890125,TM006,COH002,PROV002,BR002,2025-02-01
CAN026,Chloe,Davies,Female,27,chloe.davies@email.com,0878901236,TM006,COH002,PROV002,BR002,2025-02-01
CAN027,Ryan,Taylor,Male,23,ryan.taylor@email.com,0889012347,TM006,COH002,PROV002,BR002,2025-02-01
CAN028,Mia,Wilson,Female,29,mia.wilson@email.com,0890123458,TM006,COH002,PROV002,BR002,2025-02-01
CAN029,Luke,Miller,Male,25,luke.miller@email.com,0801234569,TM006,COH002,PROV002,BR002,2025-02-01
CAN030,Busisiwe,Mnguni,Female,28,busisiwe.mnguni@email.com,0812345680,TM007,COH002,PROV003,BR003,2025-02-01
CAN031,Khanyisile,Cele,Male,24,khanyisile.cele@email.com,0823456782,TM007,COH002,PROV003,BR003,2025-02-01
CAN032,Sindiswa,Mthembu,Female,26,sindiswa.mthembu@email.com,0834567893,TM007,COH002,PROV003,BR003,2025-02-01
CAN033,Vuyani,Dlomo,Male,31,vuyani.dlomo@email.com,0845678904,TM007,COH002,PROV003,BR003,2025-02-01
CAN034,Nomsa,Phiri,Female,23,nomsa.phiri@email.com,0856789015,TM007,COH002,PROV003,BR003,2025-02-01
CAN035,Sizani,Mthethwa,Male,27,sizani.mthethwa@email.com,0867890126,TM007,COH002,PROV003,BR003,2025-02-01
CAN036,Kgomotso,Malatji,Female,25,kgomotso.malatji@email.com,0878901237,TM008,COH002,PROV004,BR004,2025-02-01
CAN037,Mpho,Selepe,Male,29,mpho.selepe@email.com,0889012348,TM008,COH002,PROV004,BR004,2025-02-01
CAN038,Dineo,Mogale,Female,24,dineo.mogale@email.com,0890123459,TM008,COH002,PROV004,BR004,2025-02-01
CAN039,Kabelo,Motaung,Male,26,kabelo.motaung@email.com,0801234570,TM008,COH002,PROV004,BR004,2025-02-01
CAN040,Nkosana,Mabena,Male,22,nkosana.mabena@email.com,0812345681,TM009,COH003,PROV001,BR001,2025-02-15
CAN041,Thandi,Mthembu,Female,28,thandi.mthembu@email.com,0823456783,TM009,COH003,PROV001,BR001,2025-02-15
